path_id	rank	pmid	year	relevance_grade	classification_reason	low_relevance_causes	detected_signals	title	abstract
Q1_database_algorithm_instability	1	42484860	2026	B	Contains a usable database or algorithm reliability observation.	generic_limitation_or_sensitivity_word	docking_only;functional_mediation;method_weak;network_pharmacology	Integrative systems biology and transcriptomic database analysis (GEPIA2 and TNMplot) uncover HRAS-driven anticancer mechanisms of anthraquinones in liver cancer.	Liver cancer, primarily hepatocellular carcinoma (HCC), remains a major contributor to global cancer mortality, underscoring the need for effective targeted therapies. This study employed an integrative systems biology and transcriptomic approach to investigate the anticancer potential of anthraquinones targeting HRAS in liver cancer. Putative targets of anthraquinones were predicted using Digep-Pred, while liver cancer-associated genes were retrieved from GeneCards, yielding 215 overlapping targets. Protein-protein interaction (PPI) network analysis identified key hub genes, including AKT1, TP53, and HRAS. Gene Ontology and KEGG pathway enrichment analyses revealed significant involvement of PI3K-Akt, MAPK, and Ras signaling pathways, highlighting their roles in tumor progression and therapeutic modulation. Network pharmacology further established HRAS as a central regulatory node. Pan-cancer transcriptomic profiling using GEPIA2 and TNMplot demonstrated significant overexpression and dysregulation of HRAS across multiple cancers, including liver cancer, with strong associations to tumor progression and prognosis. Genomic analysis via cBioPortal revealed mutation hotspots and copy-number-dependent expression patterns influencing HRAS activity. Molecular docking studies indicated that anthraquinones, particularly citreorosein, exhibited strong binding affinity (- 7.431) toward the HRAS active site through key interactions with SER17, LYS16, GLY13, THR35, and GLU31, outperforming standard drugs such as sorafenib. Molecular dynamics simulations confirmed the stability of the HRAS-citreorosein complex, with low RMSD values indicating minimal conformational deviation and stable binding. Dynamic cross-correlation analysis revealed coordinated residue motions and balanced correlated anticorrelated dynamics, supporting structural integrity. Collectively, these findings highlight HRAS as a promising therapeutic target and anthraquinones as potential candidates for liver cancer treatment.
Q1_database_algorithm_instability	2	42447091	2026	B	Contains a usable database or algorithm reliability observation.	generic_limitation_or_sensitivity_word	method_weak;network_pharmacology	Association between the combination of GABAergic agents and SSRIs at the first clinical visit and depressive symptom trajectories: A study using group-based trajectory modeling and Apriori algorithm.	Depression is a leading cause of disability, with limited efficacy of current treatments: 30% - 40% of major depressive disorder patients fail first-line therapy, and relapse rates remain high. Combination pharmacotherapy shows promise, but real-world evidence on initial treatment strategies and longitudinal symptom trajectories is lacking. We conducted a longitudinal analysis of electronic health records from 1,876 patients who visited the Shanghai Mental Health Center between November 2021 and April 2023. Group-based trajectory modeling (GBTM) classified patients into subgroups based on PHQ-9 score trajectories. The Apriori algorithm identified common medication mechanism combinations for the first visit. Multinomial logistic regression evaluated associations between medication groups and trajectory subgroups. General linear modeling examined SDS score improvement. Network pharmacology was conducted as an exploratory analysis to investigate potential biological context. Three PHQ-9 trajectory groups were identified: Rapid Decline (29.96%), Gradual Decline (30.76%), and Worsening (39.28%). The Worsening Group had lower initial PHQ-9 scores but showed progressive severity elevation. Four medication mechanism combination groups were identified including GABAergic agents alone (GABA), selective serotonin reuptake inhibitors alone (SSRIs), GABA+SSRIs combination, and Others. GABA+SSRIs was the most frequent combination (31.02%). Compared with GABA+SSRIs, patients in the SSRIs group (OR adj, 1.809; 95% CI, 1.196 - 2.736) had significantly higher odds of belonging to the Worsening Group (P = 0.005). In the supplementary SDS analysis, GABA monotherapy was associated with significantly less symptom improvement than GABA+SSRIs (β = -1.790, 95% CI: -3.320, -0.258). Network analysis identified 33 intersecting targets between GABA+SSRIs and depression, enriched in neurotransmission and synaptic plasticity pathways. Overall, the combination of GABAergic agents and SSRIs at the first clinical visit was associated with a more favorable PHQ-9 trajectory group than SSRIs monotherapy. These findings may inform future prospective and mechanistic studies on medication mechanism combinations in depression treatment.
Q1_database_algorithm_instability	3	42518339	2026	B	Contains a usable database or algorithm reliability observation.	generic_limitation_or_sensitivity_word	method_weak;network_pharmacology	SSRIs-induced liver injury adverse events: a data-based retrospective study and investigation of potential toxicological mechanisms.	AIM: To systematically evaluate safety signals of selective serotonin reuptake inhibitors (SSRIs) associated with drug-induced liver injury (DILI) using the FAERS database, and to explore potential toxicological mechanisms through drug-gene interaction network analysis. METHODS: Adverse event data for six SSRIs (2013-2023) were extracted from FAERS. Descriptive analysis and disproportionality signal detection (ROR, BCPNN) were performed. Time to DILI onset and factors influencing mortality were analyzed. Network pharmacology explored drug-gene interactions. Due to the absence of individual-level clinical data in FAERS, we could not apply the updated RUCAM, the gold standard for DILI causality assessment. RESULTS: DILI reports were most frequent in patients aged 18-64 years and in females. Sertraline had the highest number of reports; fluvoxamine the fewest. Common signals across SSRIs included hepatocellular injury and necrosis. Fluoxetine showed unique signals for hepatic steatosis, paroxetine for chronic active hepatitis, and sertraline for severe liver failure (e.g., primary biliary cholangitis, hemorrhagic hepatic cyst). Median time to onset was within the first month of treatment. Age 18-44 years (OR = 3.03, 95% CI: 1.12-8.18) and low body weight ≤60 kg (OR = 0.45, 95% CI: 0.18-1.14) were significant predictors of mortality. Network analysis suggested shared mechanisms (e.g., CYP450 dysfunction, apoptosis dysregulation) and drug-specific pathways (e.g., PI3K-Akt for sertraline, IL-17 signaling for fluoxetine/fluvoxamine). CONCLUSION: DILI safety signals for SSRIs are most frequent within the first month of treatment, particularly in female patients. Considerable variability in hepatotoxicity profiles among SSRIs supports drug-specific monitoring. These hypothesis-generating findings provide a basis for personalized risk assessment and require confirmation in prospective studies.
Q1_database_algorithm_instability	4	42440762	2026	B	Contains a usable database or algorithm reliability observation.	generic_limitation_or_sensitivity_word	method_weak;network_pharmacology	Post-marketing safety of lecanemab: a real-world study based on FAERS database, multicenter cohort and network pharmacology.	INTRODUCTION: Lecanemab is a monoclonal antibody targeting amyloid-beta (Aβ) approved for treating Alzheimer's disease (AD) with mild cognitive impairment or mild dementia. Continuous monitoring of its real-world safety profile remains essential. This study aimed to analyze lecanemab-related adverse events (AEs) using the FDA Adverse Event Reporting System (FAERS) database and a multicenter cohort, and explored mechanisms via network pharmacology. METHODS: We conducted an updated disproportionality analysis of FAERS data from 2023 to 2024 to identify disproportionate reporting signals (SDRs). A multicenter retrospective cohort study was performed, including lecanemab users from June 2024 to February 2025. Data were collected from electronic medical records of five tertiary hospitals. AEs were identified and influencing factors of AE occurrence were analyzed. Additionally, a drug-gene interaction network was constructed to explore potential mechanisms. RESULTS: In the FAERS analysis of 2,764 AEs from 1,389 lecanemab users, 12 of 41 positive SDRs were prioritized, with 75% (9/12) being nervous system disorders, primarily amyloid-related imaging abnormalities (ARIA). In the cohort study, 29.05% (43/148) of patients experienced AEs, with infusion-related reactions being most common. Age was identified as a risk factor for AE occurrence [OR (95% CI): 1.109 (1.011-1.215), P = 0.028], while pre-treatment significantly reduced AE incidence. Gene enrichment analysis suggested potential links between lecanemab-related genes and AEs. DISCUSSION: This study provides real-world evidence on the risk profile of lecanemab, highlighting the importance of continued safety monitoring. These findings may inform discussions about the risks associated with anti-amyloid treatments and warrant further confirmation in large-scale prospective studies.
Q1_database_algorithm_instability	5	42264128	2026	B	Contains a usable database or algorithm reliability observation.	docking_or_MD_misread_as_empirical_validation;generic_limitation_or_sensitivity_word	docking_only;method_weak;network_pharmacology	Fluoxetine-associated adverse event signals with a focus on seizure: A study based on the FAERS database, network pharmacology, and molecular docking.	OBJECTIVE: To evaluate fluoxetine-associated adverse event reporting signals in the FDA Adverse Event Reporting System (FAERS), focusing on seizure, and to explore potential biological plausibility using network pharmacology and molecular docking. METHODS: FAERS reports with fluoxetine as the suspected drug were extracted. Clinical characteristics, adverse event profiles, seriousness, outcomes, and time-to-onset were analyzed. Disproportionality analysis was performed using reporting odds ratio (ROR). Overlapping targets between fluoxetine and seizure were identified, followed by GO/KEGG enrichment, PPI analysis, and molecular docking. RESULTS: Females accounted for 58.11% of fluoxetine-associated reports, and serious adverse events accounted for 86.45%. Psychiatric disorders and nervous system disorders were the main SOC categories, with RORs of 4.24 and 1.71, respectively. Seizure was reported in 496 cases (0.48%). Most adverse events occurred within 0-30 days, with a median onset of 11 days, while 14.34% occurred after 360 days. Mechanistic analysis identified 37 overlapping targets, mainly enriched in ion transport, neurotransmitter receptor activity, serotonergic and dopaminergic synapses, and inflammatory pathways. MAOA, BDNF, IL1B, CRH, IL6, and NTRK2 were identified as core targets. Docking suggested stable binding of fluoxetine with MAOA and NTRK2. CONCLUSION: Fluoxetine-associated adverse events showed prominent psychiatric and neurological features. Seizure, although infrequent, warrants pharmacovigilance attention. MAOA and NTRK2 may be key candidate targets involved in fluoxetine-associated seizure.
Q1_database_algorithm_instability	6	42216572	2026	D	Does not substantively match the path goal.	network_pharmacology_phrase_not_substantive;generic_limitation_or_sensitivity_word	docking_only;functional_mediation;generic_experiment;measured_exposure;method_weak	Integrative Database-Driven In Silico and In Vitro Study of Anemarrhena asphodeloides Bunge Highlighting Hippeastrine as a Regulator of the HSP90/PI3K/Akt/mTOR Axis in Oral Squamous Cell Carcinoma.	Oral squamous cell carcinoma (OSCC) has a poor prognosis and limited effective therapies. Anemarrhena asphodeloides exhibits anticancer activity, but its efficacy in OSCC treatment remains underexplored. Network and protein-protein interaction analysis identified 275 overlapping targets and 12 hub genes, with HSP90AA1, HSP90AB1, and CASP3 upregulated in OSCC, linked to poorer survival. QSAR modeling, molecular docking, and molecular dynamics simulations demonstrated stable binding of key bioactive compounds with HSP90 and AKT1, highlighting hippeastrine as a promising candidate. ADMET analysis indicated their favorable pharmacokinetic profiles. To validate the therapeutic potential of hippeastrine, in vitro experiments were conducted using the CAL27 and SCC-9 cell lines. CCK-8 assay demonstrated that hippeastrine exerted significant and dose-dependent cytotoxicity against OSCC cells. Furthermore, hippeastrine treatment significantly suppressed colony formation and attenuated cell migration and invasion capabilities. Gene set enrichment analysis of TCGA-HNSC data revealed a positive correlation between HSP90AA1/AB1 expression and PI3K/Akt/mTOR signaling. Western blot analysis confirmed inhibition of the HSP90-PI3K-Akt-mTOR axis by hippeastrine. Moreover, functional rescue experiments with the PI3K activator 740 Y-P successfully reversed the hippeastrine-induced suppression of cell viability and PI3K/Akt phosphorylation. These findings indicate that hippeastrine exerts anti-OSCC effects by targeting the HSP90/PI3K/Akt/mTOR pathway, highlighting it as a novel therapeutic agent against OSCC.
Q1_database_algorithm_instability	7	42097324	2026	D	Does not substantively match the path goal.	network_pharmacology_phrase_not_substantive	method_strong;method_weak	Mixed exposure to brominated flame retardants adversely affects vaccine-induced antibody titers: Risk prioritization and benchmark dose modeling.	The association between brominated flame retardant (BFRs) exposure and measles, mumps, and rubella vaccine (MMR) antibody responses was investigated using the National Health and Nutrition Examination Survey (2003-2004). Using multivariate linear regression and restricted cubic spline (RCS) model, we found significant inverse association between single BFR exposure (BB-153 and BDE-100) and mumps antibody levels (P < 0.05). Mixed BFR exposure synergistically reduced antibody levels across mumps and rubella vaccines, with BB-153 identified as the dominant contributor for mumps (PIP = 0.460). Benchmark dose modeling revealed immunotoxicity thresholds for a 10% antibody reduction: BB-153 (BMDL10 = 46.73 pg/g serum) for mumps, BDE-153 (BMDL10 = 258.27 pg/g serum) for rubella. While the exposure levels of most people in this study were below these thresholds, dose-response trends were still observed at sub-threshold concentrations. Enrichment analyses via Comparative Exploratory functional enrichment analysis suggested that BFR exposure may be associated with immune-related pathways. However, these findings are hypothesis-generating and do not represent definitive mechanistic evidence. Further experimental studies are needed to validate these potential biological mechanisms. Sensitivity analyses confirmed robust associations, and independent toxic effects were observed in females. This is the first study to examine the relationship between BFR exposure and MMR vaccine effects, highlighting the need for enhanced monitoring and a revised framework for assessing immunotoxicity.
Q1_database_algorithm_instability	8	42113694	2026	A	Direct database, algorithm, coverage, overlap, benchmark, or reproducibility evidence.	docking_or_MD_misread_as_empirical_validation	docking_only;method_strong;method_weak;network_pharmacology	Reproducible Computational Workflow for Drug Discovery to Standardize Network Pharmacology and Molecular Docking Analyses.	Network pharmacology and molecular docking are widely applied in drug discovery, yet fragmented workflows and inconsistent operations frequently undermine result reproducibility. Here, a standardized protocol integrating these approaches into a reproducible framework for drug screening and mechanism exploration is described, with the workflow organized into three sequential phases: data preparation, computational analysis, and validation. In the preparation phase, compound libraries from public databases are filtered via Absorption, Distribution, Metabolism, Excretion, and Toxicity (ADMET) criteria, including oral bioavailability, drug-likeness, and toxicity prediction, while potential therapeutic targets are obtained through target prediction and integration of disease-related databases to comprehensively identify drug-disease interaction candidates. In the computational analysis phase, overlapping targets undergo Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analyses and protein-protein interaction network topological analysis to identify core targets; molecular docking is configured with two standardized optional strategies with distinct advantages. The two-step progressive strategy employs AutoDock Vina for high-throughput preliminary screening of the compound library, followed by precise re-docking with YASARA, which eliminates false positives from high-throughput screening and generates protein-ligand complexes natively compatible with subsequent YASARA molecular dynamics (MD) simulations to avoid structural deviations caused by cross-software format conversion. The one-step strategy completes the full docking process via YASARA alone, which simplifies the operation workflow, improves experimental efficiency, and is fully applicable for specific research goals. In the validation phase, standardized MD simulations evaluate ligand-protein complex stability via core metrics of root mean square deviation (RMSD) and root mean square fluctuation (RMSF). This unified, reproducible pipeline enhances the reliability of network pharmacology and docking studies and facilitates cross-study comparisons in computational drug discovery.
Q1_database_algorithm_instability	9	42078472	2026	B	Contains a usable database or algorithm reliability observation.	generic_limitation_or_sensitivity_word	method_weak;network_pharmacology	Kidney adverse events associated with calcineurin inhibitors: a real-world study based on the FAERS database and network pharmacology.	OBJECTIVE: This study utilized FDA Adverse Event Reporting System (FAERS) data and network pharmacology methods to evaluate the risk of renal adverse events (AEs) associated with calcineurin inhibitors (CNIs), providing guidance for safe drug use. METHOD: By analyzing FAERS data from 2004 to 2024, we identified renal AEs associated with CNI therapy. We employed imbalance analysis (report odds ratio [ROR], proportion of reports ratio [PRR], MGPS, and Bayesian confidence propagation neural network [BCPNN]) to detect signals and explored drug-gene interaction networks to investigate potential mechanisms. RESULTS: Revealed significant associations between cyclosporine, tacrolimus, and voclosporin with renal injury, with voclosporin showing stronger correlations (ROR = 5.24, PRR = 4.85, EBGM05 = 4.85, IC025 = 2.28) but lower mortality rates. Network pharmacology analysis suggested that cyclosporine, tacrolimus, and everolimus may exert their toxic effects by acting on core genes. CONCLUSION: The widespread use of CNIs raises concerns about their renal safety. This study provides new evidence from real-world data indicating differences in renal toxicity risk and mechanisms among calcineurin inhibitors (CNIs), underscoring the importance of pharmacovigilance strategies for patients with autoimmune diseases.
Q1_database_algorithm_instability	10	41801966	2026	B	Contains a usable database or algorithm reliability observation.	generic_limitation_or_sensitivity_word	method_weak;network_pharmacology	Leukotriene receptor antagonists and eosinophilic granulomatosis with polyangiitis: a disproportionality analysis from FAERS, JADER, CVAR databases integrated with network pharmacology.	OBJECTIVE: The relationship between leukotriene receptor antagonists (LTRAs) usage and the subsequent occurrence of eosinophilic granulomatosis with polyangiitis (EGPA) remained highly polarizing and controversial in previous studies. We aimed to investigate the risk of EGPA caused by LTRAs and the potential toxicological mechanisms of LTRAs-related EGPA. METHODS: In this real-world pharmacovigilance study, we collected adverse event (AE) reports of EGPA associated with LTRAs use from the U.S. FDA Adverse Event Reporting System (FAERS), Japanese Adverse Drug Event Reporting (JADER), and Canadian Vigilance Adverse Reaction (CVAR) databases. The reporting odds ratio (ROR), proportional reporting ratio (PRR), information component (IC), and empirical Bayesian geometric mean (EBGM) were calculated to quantify the strength of the association between LTRAs and EGPA. The Weibull shape parameter (WSP) test was applied to analyze time-to-onset profiles of EGPA toxicity. Network pharmacology analysis was subsequently performed to identify the central genes to determine the potential mechanisms underlying LTRAs-induced EGPA. RESULTS: LTRAs, including montelukast, zafirlukast, and pranlukast, exhibited a strong association with EGPA in three databases (the lower limit of 95% confidence interval (CI) for ROR > 1, PRR > 2 with χ2 values ≥4, EBGM05 > 2, and IC025 > 0). After excluding corticosteroids as concomitant medication, montelukast remained significantly associated with EGPA in the FAERS database. The median time-to-onset of EGPA associated with LTRAs was 233 (range: 76-660) days, and the WSP test indicated LTRAs had early failure-type profiles. We isolated 81 interactive target genes linking LTRAs to EGPA. Several central genes, including SRC, PTGS2, EDN1, HMOX1, KDR, and OCLN, were revealed via protein-protein interactions analysis and molecular complex detection (MCODE) algorithm. CONCLUSION: Our study revealed LTRAs could increase the risk of EGPA, and initially explored potential genes and mechanisms of LTRAs-induced EGPA. It is helpful for clinicians to be alerted to the risk of EGPA during LTRAs administration.
